@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute features-7 numeric
@attribute state {0,1,2,3,4}
@attribute intensity numeric

@data
4041,'2026/07/05 20:02:23:314',45,0.508089,0.662976,0.007332,0.005922,-0.003594,0.728933,0.007113,1,0.2
4042,'2026/07/05 20:02:23:422',45,0.521846,0.662976,0.010112,0.005922,0.000201,0.728933,0.007113,1,0.2
4043,'2026/07/05 20:02:23:529',45,0.534127,0.662976,0.010112,0.005922,0.002658,0.728933,0.007113,1,0.2
4044,'2026/07/05 20:02:23:650',45,0.545236,0.674987,0.012004,0.005922,0.005873,0.728933,0.007113,1,0.2
4045,'2026/07/05 20:02:23:806',45,0.552451,0.687053,0.012004,0.004123,0.005873,0.707214,0.007113,1,0.2
4046,'2026/07/05 20:02:23:865',45,0.552451,0.699544,0.012004,0.002046,0.005873,0.707214,0.007113,1,0.2
4047,'2026/07/05 20:02:23:969',45,0.552451,0.714852,0.014767,-0.003057,0.007982,0.707214,0.007113,1,0.2
4048,'2026/07/05 20:02:24:084',45,0.541024,0.729735,0.014767,-0.004604,0.007982,0.685305,0.007113,1,0.2
4049,'2026/07/05 20:02:24:188',45,0.526691,0.742558,0.014767,-0.007081,0.006073,0.685305,0.010122,1,0.2
4050,'2026/07/05 20:02:24:310',45,0.511013,0.751427,0.014767,-0.007081,0.003761,0.685305,0.010122,1,0.2
4051,'2026/07/05 20:02:24:524',45,0.493711,0.756116,0.014767,-0.008707,0.002108,0.685305,0.010122,1,0.2
4052,'2026/07/05 20:02:24:524',45,0.477398,0.756116,0.013029,-0.008707,0.002108,0.685305,0.010122,1,0.2
4053,'2026/07/05 20:02:24:623',45,0.460428,0.759141,0.013029,-0.008707,-0.001568,0.685305,0.010122,1,0.2
4054,'2026/07/05 20:02:24:737',45,0.443763,0.755642,0.013029,-0.008707,-0.001568,0.685305,0.010122,1,0.2
4055,'2026/07/05 20:02:24:839',45,0.429468,0.748267,0.011041,-0.007027,-0.003178,0.685305,0.010122,1,0.2
4056,'2026/07/05 20:02:24:958',45,0.41642,0.736926,0.013015,-0.007027,-0.005596,0.708531,0.010122,1,0.2
4057,'2026/07/05 20:02:25:070',45,0.406099,0.725045,0.011337,-0.00543,-0.005596,0.708531,0.010122,1,0.2
4058,'2026/07/05 20:02:25:185',45,0.399042,0.708885,0.012916,-0.003902,-0.00772,0.733251,0.010122,1,0.2
4059,'2026/07/05 20:02:25:290',45,0.394089,0.692197,0.012916,-0.002159,-0.00772,0.733251,0.010122,1,0.2
4060,'2026/07/05 20:02:25:408',45,0.394089,0.67411,0.012916,0.000504,-0.009842,0.733251,0.010122,1,0.2
4061,'2026/07/05 20:02:25:513',45,0.394089,0.655143,0.012916,0.000504,-0.009842,0.756382,0.010122,1,0.2
4062,'2026/07/05 20:02:25:617',45,0.397112,0.638206,0.010875,0.000504,-0.008089,0.756382,0.010122,1,0.2
